client_id,session_id,c_ip,company_size,country,country_group,city,latitude,longitude,market_priority,market_saturation_index,industry,service_type,service_category,marketing_channel,campaign_name,sales_rep_id,sales_rep_name,sales_team,monthly_rep_target,inquiry_date,demo_date,proposal_date,close_date,current_stage,has_inquiry,has_demo,has_proposal,converted,lead_score,conversion_probability,actual_revenue,forecast_revenue,target_revenue,revenue_gap,sales_cycle_days,currency,inquiry_submit_count,total_web_events,lead_quality,total_page_views,unique_pages_visited,avg_web_response_ms,web_error_hits,intent_score,commercial_readiness_score,priority_band,total_web_requests,unique_sessions,web_visit_count,demo_request_count,ai_assistant_request_count,promotional_event_count,contract_confirmation_count,proposal_download_count,high_intent_hits,web_error_count,avg_response_time_ms,first_web_event,last_web_event,top_page
CL10698,SESS70698,172.63.38.164,Large,United States,International,New York,40.7128,-74.006,High,0.76,Telecommunications,Executive Cyber Training,Training,Email Nurture,SME Security Education Series,SR008,Lesedi,International Expansion,500000,2025-04-29,2025-05-03,,,Demo Requested,1,1,0,0,62,0.3771,0.0,12338.5,7197.36,-7197.36,,BWP,1,7,Medium,7,6,449.4,0,54,58,Nurture,8,8,8,0,1,0,0,0,1,0,444.6,2025-01-30 17:16:17,2025-05-31 12:13:37,/case-studies
CL10699,SESS70699,99.6.79.174,Micro,India,International,Bengaluru,12.9716,77.5946,Medium,0.55,Healthcare,Fraud Monitoring Solution,Platform,Referral,Partner Referral Programme,SR007,Neo,International Expansion,520000,2025-05-09,,,,Inquiry,1,0,0,0,59,0.2956,0.0,13812.62,10280.16,-10280.16,,BWP,1,8,Medium,8,6,339.9,1,74,66,Sales Ready,10,10,10,0,2,1,0,0,3,0,399.7,2025-01-21 14:19:32,2025-06-09 10:05:32,/
CL10700,SESS70700,88.33.227.39,Medium,Botswana,SADC,Gaborone,-24.6282,25.9231,High,0.42,Financial Services,SME Security Package,SME,Direct Visit,Organic Website Visit,SR002,Kagiso,Botswana Core,390000,2025-03-07,2025-03-09,2025-03-19,,Proposal Sent,1,1,1,0,56,0.2145,0.0,7240.99,7425.0,-7425.0,,BWP,1,12,Medium,12,7,498.7,2,90,71,Sales Ready,12,12,12,0,1,0,0,0,1,1,456.4,2025-02-06 19:34:19,2025-06-18 22:28:59,/services
CL10701,SESS70701,136.18.153.234,Small,Namibia,SADC,Windhoek,-22.5609,17.0658,Medium,0.35,Financial Services,SME Security Package,SME,Email Nurture,SME Security Education Series,SR002,Kagiso,Botswana Core,390000,2025-02-23,2025-02-28,2025-03-09,,Proposal Sent,1,1,1,0,66,0.2807,0.0,7388.39,5791.5,-5791.5,,BWP,1,6,High,6,6,412.7,0,52,60,Nurture,8,8,8,1,2,0,0,0,3,2,727.9,2025-01-04 00:21:52,2025-06-11 20:17:30,/ai-assistant
CL10702,SESS70702,187.71.44.123,Medium,United Arab Emirates,International,Dubai,25.2048,55.2708,High,0.63,Education,Executive Cyber Training,Training,Google Search,Search Ads - Cybersecurity Help,SR007,Neo,International Expansion,520000,2025-03-11,,,,Inquiry,1,0,0,0,64,0.4246,0.0,8090.95,4192.54,-4192.54,,BWP,1,7,Medium,7,5,488.4,0,44,55,Nurture,9,9,9,0,0,0,0,0,0,1,544.8,2025-01-03 08:13:46,2025-05-25 16:04:06,/
CL10703,SESS70703,52.92.220.242,Enterprise,Namibia,SADC,Windhoek,-22.5609,17.0658,Medium,0.35,Financial Services,Threat Detection Platform,Platform,Google Search,Search Ads - Cybersecurity Help,SR001,Naledi,Botswana Core,420000,2025-02-05,2025-02-11,2025-02-18,,Proposal Sent,1,1,1,0,89,0.2851,0.0,46233.0,35677.12,-35677.12,,BWP,1,9,Hot,9,7,512.6,1,66,79,Sales Ready,9,9,9,1,0,0,0,1,2,0,488.3,2025-01-13 16:15:34,2025-06-25 12:34:12,/services
CL10704,SESS70704,180.92.194.102,Medium,United Kingdom,International,London,51.5072,-0.1276,High,0.71,Financial Services,Fraud Monitoring Solution,Platform,LinkedIn Campaign,B2B Security Decision-Makers,SR007,Neo,International Expansion,520000,2025-06-12,2025-06-13,2025-06-22,,Proposal Sent,1,1,1,0,80,0.4366,0.0,38642.08,19470.0,-19470.0,,BWP,1,8,High,8,6,387.4,0,56,69,Sales Ready,7,7,7,0,0,0,0,1,1,1,611.9,2025-01-08 15:14:07,2025-06-09 04:47:07,/services
CL10705,SESS70705,113.115.10.72,Large,Kenya,Wider Africa,Mombasa,-4.0435,39.6682,High,0.58,Retail,AI Security Audit,Advisory,Industry Conference,Johannesburg FinTech Cyber Briefing,SR005,Amogelang,Regional Growth,410000,2025-03-04,2025-03-09,2025-03-13,2025-03-28,Contract Confirmed,1,1,1,1,84,0.3979,34558.69,20565.37,11369.6,23189.09,24.0,BWP,1,7,Hot,7,7,359.1,0,64,75,Sales Ready,12,12,12,2,2,1,0,1,6,0,530.2,2025-01-11 09:08:26,2025-06-27 03:33:36,/pricing
CL10706,SESS70706,162.139.235.180,Small,South Africa,SADC,Johannesburg,-26.2041,28.0473,High,0.64,Logistics,Fraud Monitoring Solution,Platform,Referral,Partner Referral Programme,SR001,Naledi,Botswana Core,420000,2025-04-24,,,,Inquiry,1,0,0,0,56,0.2709,0.0,12596.69,10230.11,-10230.11,,BWP,1,4,Medium,4,4,442.0,0,28,43,Low Priority,7,7,7,0,2,0,0,0,2,0,388.9,2025-01-02 16:04:42,2025-05-20 05:20:16,/
CL10707,SESS70707,89.153.66.77,Micro,Ethiopia,Wider Africa,Addis Ababa,8.9806,38.7578,Emerging,0.32,Education,Cloud Security Analytics,Analytics,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR006,Boitumelo,Regional Growth,400000,2025-05-31,,,,Inquiry,1,0,0,0,61,0.2309,0.0,5475.22,5217.3,-5217.3,,BWP,1,5,Medium,5,5,468.2,0,40,52,Nurture,8,8,8,0,0,1,0,0,1,1,488.5,2025-02-06 09:04:27,2025-05-25 00:49:35,/services
CL10708,SESS70708,129.13.208.122,Large,Namibia,SADC,Windhoek,-22.5609,17.0658,Medium,0.35,Mining,SME Security Package,SME,Direct Visit,Organic Website Visit,SR002,Kagiso,Botswana Core,390000,2025-05-29,2025-06-02,2025-06-08,2025-06-22,Contract Confirmed,1,1,1,1,66,0.2627,54548.24,10533.38,8819.71,45728.53,24.0,BWP,1,10,High,10,8,415.8,2,96,80,Sales Ready,10,10,10,1,0,1,0,0,2,0,386.0,2025-01-03 14:07:51,2025-06-21 17:10:51,/case-studies
CL10709,SESS70709,170.105.117.6,Small,Nigeria,Wider Africa,Abuja,9.0765,7.3986,High,0.62,Retail,Cloud Security Analytics,Analytics,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR006,Boitumelo,Regional Growth,400000,2025-04-02,2025-04-08,2025-04-15,,Proposal Sent,1,1,1,0,72,0.3888,0.0,13395.37,7580.43,-7580.43,,BWP,1,7,High,7,7,406.0,0,64,68,Sales Ready,6,6,6,1,2,0,0,0,3,1,460.7,2025-02-23 21:43:41,2025-06-02 07:14:21,/ai-assistant
CL10710,SESS70710,75.30.81.6,Medium,Kenya,Wider Africa,Nairobi,-1.2921,36.8219,High,0.58,Government,Threat Detection Platform,Platform,Referral,Partner Referral Programme,SR006,Boitumelo,Regional Growth,400000,2025-04-09,2025-04-10,2025-04-15,2025-04-22,Contract Confirmed,1,1,1,1,87,0.3659,55414.5,33459.5,20119.0,35295.5,13.0,BWP,1,8,Hot,8,6,423.8,0,56,73,Sales Ready,7,7,7,0,0,0,1,1,2,0,472.7,2025-01-05 06:31:13,2025-04-26 10:10:13,/services
CL10711,SESS70711,57.37.247.239,Small,Botswana,SADC,Francistown,-21.1702,27.5079,High,0.42,Financial Services,SME Security Package,SME,LinkedIn Campaign,B2B Security Decision-Makers,SR004,Thato,South Africa Enterprise,460000,2025-06-30,2025-07-04,,,Demo Requested,1,1,0,0,82,0.4574,0.0,12039.98,5791.5,-5791.5,,BWP,1,5,Hot,5,5,485.8,0,40,63,Nurture,9,9,9,2,1,0,0,0,3,0,338.8,2025-01-09 04:46:33,2025-06-12 04:44:41,/
CL10712,SESS70712,83.124.111.187,Medium,Kenya,Wider Africa,Nairobi,-1.2921,36.8219,High,0.58,Retail,Executive Cyber Training,Training,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR005,Amogelang,Regional Growth,410000,2025-05-12,,,,Inquiry,1,0,0,0,76,0.5326,0.0,9612.89,3971.0,-3971.0,,BWP,1,7,High,7,5,333.4,1,42,61,Nurture,9,9,9,0,1,0,0,0,1,0,396.3,2025-01-27 00:15:12,2025-06-27 08:33:33,/
CL10713,SESS70713,44.45.146.207,Medium,Botswana,SADC,Gaborone,-24.6282,25.9231,High,0.42,Education,AI Security Audit,Advisory,Google Search,Search Ads - Cybersecurity Help,SR002,Kagiso,Botswana Core,390000,2025-06-03,2025-06-05,2025-06-07,2025-06-25,Contract Confirmed,1,1,1,1,71,0.3087,53552.12,12044.66,8583.3,44968.82,22.0,BWP,1,8,High,8,7,475.4,0,66,69,Sales Ready,9,9,9,2,1,0,0,0,3,0,447.8,2025-02-17 10:08:51,2025-06-27 06:22:01,/services
CL10714,SESS70714,181.69.104.188,Medium,Kenya,Wider Africa,Nairobi,-1.2921,36.8219,High,0.58,Education,Cloud Security Analytics,Analytics,Google Search,Search Ads - Cybersecurity Help,SR005,Amogelang,Regional Growth,410000,2025-06-16,2025-06-22,2025-06-28,,Proposal Sent,1,1,1,0,70,0.3182,0.0,12576.68,8695.5,-8695.5,,BWP,1,9,High,9,7,534.0,0,78,74,Sales Ready,16,16,16,2,1,0,0,1,4,0,478.4,2025-01-22 10:46:45,2025-06-29 19:38:14,/services
CL10715,SESS70715,106.26.149.221,Enterprise,Botswana,SADC,Maun,-19.9833,23.4167,High,0.42,Financial Services,AI Security Audit,Advisory,Industry Conference,Johannesburg FinTech Cyber Briefing,SR002,Kagiso,Botswana Core,390000,2025-05-30,2025-06-06,2025-06-15,,Proposal Sent,1,1,1,0,84,0.4298,0.0,38220.13,19564.88,-19564.88,,BWP,1,6,Hot,6,6,573.2,0,52,70,Sales Ready,10,10,10,3,2,0,0,0,5,0,478.2,2025-01-20 00:47:02,2025-06-12 02:36:09,/pricing
CL10716,SESS70716,44.122.32.235,Small,Zimbabwe,SADC,Harare,-17.8252,31.0335,Medium,0.46,Financial Services,SME Security Package,SME,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR002,Kagiso,Botswana Core,390000,2025-02-12,2025-02-19,,,Demo Requested,1,1,0,0,53,0.2261,0.0,5951.93,5791.5,-5791.5,,BWP,1,10,Medium,10,7,462.6,0,90,70,Sales Ready,13,13,13,3,0,0,0,0,3,1,602.5,2025-01-08 04:12:03,2025-06-30 22:19:17,/contact
CL10717,SESS70717,170.232.62.229,Medium,Botswana,SADC,Gaborone,-24.6282,25.9231,High,0.42,Logistics,Cloud Security Analytics,Analytics,LinkedIn Campaign,B2B Security Decision-Makers,SR001,Naledi,Botswana Core,420000,2025-04-24,2025-05-01,,,Demo Requested,1,1,0,0,66,0.3411,0.0,15759.27,10164.53,-10164.53,,BWP,1,7,High,7,5,386.4,1,52,60,Nurture,10,10,10,2,1,0,0,0,3,0,589.5,2025-01-06 18:01:40,2025-06-18 17:41:11,/
CL10718,SESS70718,187.82.103.162,Small,Botswana,SADC,Gaborone,-24.6282,25.9231,High,0.42,Telecommunications,Fraud Monitoring Solution,Platform,Referral,Partner Referral Programme,SR004,Thato,South Africa Enterprise,460000,2025-01-25,,,,Inquiry,1,0,0,0,72,0.4186,0.0,24120.2,12676.44,-12676.44,,BWP,1,8,High,8,6,454.5,0,76,74,Sales Ready,8,8,8,0,0,1,0,0,1,0,459.8,2025-01-18 18:54:01,2025-06-22 14:14:32,/services
CL10719,SESS70719,111.44.111.142,Small,Botswana,SADC,Gaborone,-24.6282,25.9231,High,0.42,Education,Executive Cyber Training,Training,Regional Roadshow,Windhoek SME Security Roadshow,SR004,Thato,South Africa Enterprise,460000,2025-05-09,2025-05-15,2025-05-17,2025-06-01,Contract Confirmed,1,1,1,1,58,0.3602,17480.35,4901.0,2993.05,14487.3,23.0,BWP,1,9,Medium,9,7,386.3,0,68,62,Nurture,7,7,7,2,0,0,1,0,3,0,464.1,2025-01-08 00:01:38,2025-05-22 07:33:21,/
CL10720,SESS70720,187.177.138.114,Large,South Africa,SADC,Johannesburg,-26.2041,28.0473,High,0.64,Mining,Fraud Monitoring Solution,Platform,Industry Conference,Johannesburg FinTech Cyber Briefing,SR002,Kagiso,Botswana Core,390000,2025-06-24,2025-06-26,,,Demo Requested,1,1,0,0,68,0.3731,0.0,35893.62,21167.31,-21167.31,,BWP,1,7,High,7,6,339.7,0,54,62,Nurture,10,10,10,1,0,1,0,0,2,1,390.6,2025-01-31 18:48:23,2025-05-22 08:17:47,/
CL10721,SESS70721,57.199.97.40,Large,Rwanda,Wider Africa,Kigali,-1.9441,30.0619,Medium,0.41,Retail,Executive Cyber Training,Training,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR006,Boitumelo,Regional Growth,400000,2025-04-15,2025-04-21,2025-04-29,,Proposal Sent,1,1,1,0,56,0.2907,0.0,6716.13,5082.88,-5082.88,,BWP,1,11,Medium,11,8,408.3,1,90,71,Sales Ready,8,8,8,1,3,0,0,0,4,0,430.5,2025-02-02 07:15:06,2025-06-25 03:22:46,/ai-assistant
CL10722,SESS70722,65.164.120.129,Small,Ethiopia,Wider Africa,Addis Ababa,8.9806,38.7578,Emerging,0.32,Financial Services,Cloud Security Analytics,Analytics,LinkedIn Campaign,B2B Security Decision-Makers,SR005,Amogelang,Regional Growth,410000,2025-04-01,2025-04-05,,,Demo Requested,1,1,0,0,72,0.2732,0.0,12386.92,9974.25,-9974.25,,BWP,1,6,High,6,5,385.5,0,52,63,Nurture,13,13,13,0,3,0,0,0,3,0,456.0,2025-01-05 16:35:02,2025-06-25 16:16:13,/
CL10723,SESS70723,189.37.146.50,Micro,South Africa,SADC,Cape Town,-33.9249,18.4241,High,0.64,Telecommunications,AI Security Audit,Advisory,Referral,Partner Referral Programme,SR002,Kagiso,Botswana Core,390000,2025-01-09,2025-01-16,,,Demo Requested,1,1,0,0,50,0.1937,0.0,6082.54,6907.03,-6907.03,,BWP,1,5,Medium,5,5,348.2,0,40,46,Nurture,12,12,12,4,1,0,0,0,5,1,494.6,2025-01-06 04:13:02,2025-06-24 05:09:00,/schedule-demo
CL10724,SESS70724,129.136.218.63,Large,United Kingdom,International,London,51.5072,-0.1276,High,0.71,Mining,SME Security Package,SME,Google Search,Search Ads - Cybersecurity Help,SR008,Lesedi,International Expansion,500000,2025-06-25,2025-06-26,2025-07-02,,Proposal Sent,1,1,1,0,77,0.441,0.0,19314.7,9636.35,-9636.35,,BWP,1,7,High,7,7,463.9,0,64,71,Sales Ready,7,7,7,0,0,0,0,0,0,0,532.7,2025-02-20 15:23:53,2025-06-30 23:02:52,/services
CL10725,SESS70725,159.6.162.33,Medium,United Kingdom,International,London,51.5072,-0.1276,High,0.71,Hospitality,Cloud Security Analytics,Analytics,LinkedIn Campaign,B2B Security Decision-Makers,SR008,Lesedi,International Expansion,500000,2025-01-25,,,,Inquiry,1,0,0,0,41,0.1239,0.0,5573.74,9898.55,-9898.55,,BWP,1,4,Low,4,4,422.2,0,28,35,Low Priority,8,8,8,0,1,1,0,0,2,0,558.8,2025-01-15 08:19:18,2025-06-29 17:08:48,/
CL10726,SESS70726,63.81.234.171,Small,United Arab Emirates,International,Dubai,25.2048,55.2708,High,0.63,Legal Services,AI Security Audit,Advisory,Email Nurture,SME Security Education Series,SR007,Neo,International Expansion,520000,2025-01-10,,,,Inquiry,1,0,0,0,77,0.3454,0.0,12160.54,7745.17,-7745.17,,BWP,1,4,High,4,4,458.0,1,26,54,Nurture,7,7,7,0,0,1,0,0,1,0,584.1,2025-01-06 07:30:46,2025-05-18 06:54:29,/
CL10727,SESS70727,161.77.84.127,Small,Zambia,SADC,Lusaka,-15.3875,28.3228,Medium,0.38,Logistics,Executive Cyber Training,Training,Direct Visit,Organic Website Visit,SR002,Kagiso,Botswana Core,390000,2025-02-24,2025-02-28,2025-03-08,,Proposal Sent,1,1,1,0,62,0.2885,0.0,4248.64,3239.53,-3239.53,,BWP,1,10,Medium,10,8,393.5,0,100,79,Sales Ready,9,9,9,3,2,0,0,1,6,0,359.3,2025-01-22 16:56:33,2025-06-10 12:08:20,/schedule-demo
CL10728,SESS70728,121.184.92.189,Large,Nigeria,Wider Africa,Abuja,9.0765,7.3986,High,0.62,Healthcare,Executive Cyber Training,Training,Industry Conference,Johannesburg FinTech Cyber Briefing,SR005,Amogelang,Regional Growth,410000,2025-01-16,2025-01-18,,,Demo Requested,1,1,0,0,78,0.5542,0.0,14825.75,5885.44,-5885.44,,BWP,1,6,High,6,5,470.5,0,42,62,Nurture,9,9,9,1,0,0,0,0,1,0,514.3,2025-01-12 21:01:13,2025-06-29 20:59:38,/pricing
CL10729,SESS70729,78.34.207.206,Large,South Africa,SADC,Johannesburg,-26.2041,28.0473,High,0.64,Telecommunications,Cloud Security Analytics,Analytics,Google Search,Search Ads - Cybersecurity Help,SR002,Kagiso,Botswana Core,390000,2025-04-05,2025-04-07,,,Demo Requested,1,1,0,0,52,0.1936,0.0,14184.69,16121.83,-16121.83,,BWP,1,7,Medium,7,6,363.0,0,64,57,Nurture,14,14,14,2,0,2,0,0,4,1,522.2,2025-01-09 00:05:51,2025-05-30 14:15:55,/
CL10730,SESS70730,74.92.32.209,Large,South Africa,SADC,Johannesburg,-26.2041,28.0473,High,0.64,Hospitality,SME Security Package,SME,Industry Conference,Johannesburg FinTech Cyber Briefing,SR001,Naledi,Botswana Core,420000,2025-04-16,,,,Inquiry,1,0,0,0,82,0.5082,0.0,14401.32,6234.62,-6234.62,,BWP,1,5,Hot,5,5,403.0,0,40,63,Nurture,11,11,11,0,3,0,0,0,3,1,488.4,2025-01-07 22:29:24,2025-06-29 23:52:02,/ai-assistant
CL10731,SESS70731,181.4.9.164,Small,Ethiopia,Wider Africa,Addis Ababa,8.9806,38.7578,Emerging,0.32,Government,Executive Cyber Training,Training,Google Search,Search Ads - Cybersecurity Help,SR005,Amogelang,Regional Growth,410000,2025-03-10,,,,Inquiry,1,0,0,0,28,0.0388,0.0,678.28,3847.27,-3847.27,,BWP,1,6,Low,6,4,424.5,0,32,30,Low Priority,7,7,7,0,0,0,0,0,0,0,528.3,2025-01-03 01:26:08,2025-06-29 00:10:43,/
CL10732,SESS70732,170.64.9.69,Medium,Mozambique,SADC,Maputo,-25.9692,32.5732,Medium,0.31,Legal Services,Fraud Monitoring Solution,Platform,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR003,Lorato,South Africa Enterprise,480000,2025-01-13,2025-01-14,,,Demo Requested,1,1,0,0,72,0.3528,0.0,20576.81,12830.4,-12830.4,,BWP,1,6,High,6,6,386.0,0,52,63,Nurture,10,10,10,1,2,0,0,0,3,0,395.8,2025-01-19 09:22:29,2025-06-20 20:45:45,/
CL10733,SESS70733,159.102.62.28,Small,South Africa,SADC,Cape Town,-33.9249,18.4241,High,0.64,Education,Executive Cyber Training,Training,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR004,Thato,South Africa Enterprise,460000,2025-01-27,2025-01-30,2025-02-09,,Proposal Sent,1,1,1,0,62,0.4333,0.0,5895.2,2993.05,-2993.05,,BWP,1,9,Medium,9,7,312.6,0,78,69,Sales Ready,12,12,12,2,4,0,0,1,7,1,563.9,2025-01-20 08:19:46,2025-05-29 23:28:53,/ai-assistant
CL10734,SESS70734,139.105.182.135,Medium,South Africa,SADC,Cape Town,-33.9249,18.4241,High,0.64,Financial Services,SME Security Package,SME,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR003,Lorato,South Africa Enterprise,480000,2025-03-23,,,,Inquiry,1,0,0,0,45,0.1673,0.0,5647.63,7425.0,-7425.0,,BWP,1,5,Low,5,4,425.2,0,40,43,Low Priority,13,13,13,0,1,0,0,0,1,1,518.2,2025-01-08 08:21:58,2025-06-05 17:55:31,/
CL10735,SESS70735,170.47.45.29,Large,South Africa,SADC,Johannesburg,-26.2041,28.0473,High,0.64,Hospitality,Cloud Security Analytics,Analytics,LinkedIn Campaign,B2B Security Decision-Makers,SR004,Thato,South Africa Enterprise,460000,2025-01-15,2025-01-18,,,Demo Requested,1,1,0,0,59,0.2782,0.0,14662.29,11596.4,-11596.4,,BWP,1,7,Medium,7,6,461.0,0,64,61,Nurture,16,16,16,2,0,0,0,0,2,1,524.6,2025-01-02 02:09:28,2025-06-23 20:07:10,/
CL10736,SESS70736,72.252.160.117,Small,Zambia,SADC,Lusaka,-15.3875,28.3228,Medium,0.38,Logistics,Threat Detection Platform,Platform,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR002,Kagiso,Botswana Core,390000,2025-05-16,2025-05-22,2025-05-24,,Proposal Sent,1,1,1,0,82,0.3222,0.0,19354.25,13213.89,-13213.89,,BWP,1,7,Hot,7,7,443.4,1,62,73,Sales Ready,11,11,11,2,3,0,0,0,5,1,436.3,2025-01-02 00:12:59,2025-06-29 20:54:15,/ai-assistant
CL10737,SESS70737,78.185.115.43,Small,Botswana,SADC,Gaborone,-24.6282,25.9231,High,0.42,Retail,SME Security Package,SME,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR004,Thato,South Africa Enterprise,460000,2025-02-16,,,,Inquiry,1,0,0,0,56,0.2877,0.0,5755.8,4401.54,-4401.54,,BWP,1,7,Medium,7,5,550.6,0,64,60,Nurture,7,7,7,0,1,0,0,0,1,1,565.3,2025-01-01 17:34:01,2025-06-09 14:42:07,/services
CL10738,SESS70738,53.19.197.16,Enterprise,Nigeria,Wider Africa,Lagos,6.5244,3.3792,High,0.62,Government,SME Security Package,SME,Google Search,Search Ads - Cybersecurity Help,SR005,Amogelang,Regional Growth,410000,2025-03-07,2025-03-10,2025-03-19,2025-03-25,Contract Confirmed,1,1,1,1,64,0.2944,47123.9,13460.67,10059.5,37064.4,18.0,BWP,1,10,Medium,10,8,443.4,0,100,80,Sales Ready,10,10,10,0,0,0,2,1,3,1,652.9,2025-01-09 10:50:04,2025-05-16 02:10:29,/
CL10739,SESS70739,93.19.82.90,Small,Ghana,Wider Africa,Accra,5.6037,-0.187,Medium,0.45,Financial Services,Threat Detection Platform,Platform,Regional Roadshow,Windhoek SME Security Roadshow,SR006,Boitumelo,Regional Growth,400000,2025-03-25,2025-03-28,2025-03-30,,Proposal Sent,1,1,1,0,98,0.3046,0.0,23014.67,16623.75,-16623.75,,BWP,1,6,Hot,6,6,414.3,1,50,76,Sales Ready,12,12,12,1,2,0,0,2,5,3,460.6,2025-01-20 16:42:30,2025-05-26 09:09:07,/
CL10740,SESS70740,192.55.97.130,Medium,Lesotho,SADC,Maseru,-29.3158,27.4869,Emerging,0.28,Logistics,Threat Detection Platform,Platform,Direct Visit,Organic Website Visit,SR003,Lorato,South Africa Enterprise,480000,2025-03-29,2025-04-02,2025-04-05,,Proposal Sent,1,1,1,0,59,0.1331,0.0,10248.22,16940.88,-16940.88,,BWP,1,7,Medium,7,6,498.7,0,64,61,Nurture,7,7,7,1,1,0,0,0,2,0,445.0,2025-01-06 03:49:16,2025-06-28 04:01:39,/
CL10741,SESS70741,45.199.163.189,Micro,Mozambique,SADC,Maputo,-25.9692,32.5732,Medium,0.31,Telecommunications,AI Security Audit,Advisory,Google Search,Search Ads - Cybersecurity Help,SR002,Kagiso,Botswana Core,390000,2025-01-01,,,,Inquiry,1,0,0,0,53,0.1597,0.0,5012.97,6907.03,-6907.03,,BWP,1,4,Medium,4,4,528.2,0,28,42,Low Priority,6,6,6,0,1,0,0,0,1,0,458.3,2025-01-07 14:24:40,2025-05-29 16:24:18,/services
CL10742,SESS70742,62.109.228.107,Large,Zambia,SADC,Lusaka,-15.3875,28.3228,Medium,0.38,Telecommunications,AI Security Audit,Advisory,LinkedIn Campaign,B2B Security Decision-Makers,SR001,Naledi,Botswana Core,420000,2025-01-27,,,,Inquiry,1,0,0,0,53,0.1724,0.0,11549.88,14735.0,-14735.0,,BWP,1,7,Medium,7,5,444.1,0,54,53,Nurture,13,13,13,0,2,1,0,0,3,1,498.9,2025-01-06 12:35:39,2025-06-25 14:05:38,/
CL10743,SESS70743,53.99.85.151,Small,Lesotho,SADC,Maseru,-29.3158,27.4869,Emerging,0.28,Legal Services,Threat Detection Platform,Platform,Google Search,Search Ads - Cybersecurity Help,SR002,Kagiso,Botswana Core,390000,2025-06-10,2025-06-17,2025-06-22,,Proposal Sent,1,1,1,0,46,0.0833,0.0,4893.61,12926.63,-12926.63,,BWP,1,7,Medium,7,6,479.9,0,54,50,Nurture,10,10,10,1,1,0,0,1,3,1,475.1,2025-01-17 03:04:54,2025-06-28 10:27:24,/services
CL10744,SESS70744,109.30.70.242,Medium,Botswana,SADC,Francistown,-21.1702,27.5079,High,0.42,Telecommunications,Executive Cyber Training,Training,Referral,Partner Referral Programme,SR002,Kagiso,Botswana Core,390000,2025-01-01,,,,Inquiry,1,0,0,0,33,0.0986,0.0,2306.09,5146.42,-5146.42,,BWP,1,4,Low,4,4,326.2,1,26,30,Low Priority,6,6,6,0,0,0,0,0,0,1,463.8,2025-03-19 13:30:42,2025-06-22 06:34:00,/
CL10745,SESS70745,178.119.39.184,Small,United Kingdom,International,London,51.5072,-0.1276,High,0.71,Mining,Cloud Security Analytics,Analytics,Referral,Partner Referral Programme,SR007,Neo,International Expansion,520000,2025-04-14,2025-04-17,2025-04-25,,Proposal Sent,1,1,1,0,86,0.5614,0.0,27871.85,10922.2,-10922.2,,BWP,1,6,Hot,6,6,586.8,0,52,71,Sales Ready,9,9,9,0,1,0,0,0,1,2,525.4,2025-01-13 10:30:27,2025-06-30 11:58:48,/pricing
CL10746,SESS70746,144.154.163.253,Medium,South Africa,SADC,Johannesburg,-26.2041,28.0473,High,0.64,Mining,SME Security Package,SME,Email Nurture,SME Security Education Series,SR002,Kagiso,Botswana Core,390000,2025-04-11,,,,Inquiry,1,0,0,0,51,0.1837,0.0,5752.89,6890.4,-6890.4,,BWP,1,9,Medium,9,5,408.4,2,74,61,Nurture,4,4,4,0,0,0,0,0,0,1,385.5,2025-02-25 01:43:08,2025-06-07 03:56:36,/services
CL10747,SESS70747,42.240.181.209,Small,United Arab Emirates,International,Dubai,25.2048,55.2708,High,0.63,Financial Services,Cloud Security Analytics,Analytics,Industry Conference,Johannesburg FinTech Cyber Briefing,SR008,Lesedi,International Expansion,500000,2025-03-13,2025-03-16,2025-03-19,2025-04-09,Contract Confirmed,1,1,1,1,51,0.242,63483.9,12944.69,11769.62,51714.28,27.0,BWP,1,9,Medium,9,8,489.3,0,78,63,Nurture,8,8,8,0,1,1,1,0,3,1,598.1,2025-02-05 02:49:11,2025-05-29 05:56:00,/pricing
CL10748,SESS70748,193.179.19.38,Large,Nigeria,Wider Africa,Lagos,6.5244,3.3792,High,0.62,Education,Cloud Security Analytics,Analytics,Referral,Partner Referral Programme,SR005,Amogelang,Regional Growth,410000,2025-04-01,,,,Inquiry,1,0,0,0,39,0.1067,0.0,5400.44,11130.24,-11130.24,,BWP,1,4,Low,4,4,301.8,0,28,34,Low Priority,15,15,15,0,1,0,0,0,1,0,537.2,2025-01-02 17:39:36,2025-05-13 00:38:53,/pricing
CL10749,SESS70749,108.122.97.186,Micro,Botswana,SADC,Gaborone,-24.6282,25.9231,High,0.42,Telecommunications,SME Security Package,SME,LinkedIn Campaign,B2B Security Decision-Makers,SR001,Naledi,Botswana Core,420000,2025-05-29,,,,Inquiry,1,0,0,0,58,0.2842,0.0,5248.91,4062.96,-4062.96,,BWP,1,5,Medium,5,4,489.6,0,30,45,Low Priority,11,11,11,0,0,1,0,0,1,0,455.4,2025-01-11 01:12:04,2025-06-07 18:44:18,/
